iter	Passed	Remaining
0	17	1688
1	32	1611
2	49	1599
3	64	1558
4	80	1523
5	95	1492
6	109	1454
7	124	1427
8	139	1405
9	156	1409
10	173	1399
11	197	1446
12	212	1418
13	227	1399
14	242	1372
15	257	1349
16	272	1332
17	287	1311
18	302	1289
19	317	1269
20	332	1249
21	348	1237
22	365	1223
23	381	1209
24	396	1189
25	413	1175
26	428	1158
27	443	1139
28	458	1123
29	473	1103
30	487	1086
31	502	1067
32	516	1049
33	531	1031
34	547	1017
35	564	1002
36	579	986
37	594	970
38	609	953
39	623	935
40	638	918
41	654	904
42	669	887
43	684	871
44	698	854
45	713	837
46	728	821
47	743	805
48	757	787
49	773	773
50	787	756
51	802	741
52	818	725
53	832	709
54	848	694
55	864	678
56	878	662
57	893	647
58	908	630
59	922	615
60	937	599
61	952	583
62	969	569
63	987	555
64	1003	540
65	1019	525
66	1035	509
67	1053	495
68	1069	480
69	1085	465
70	1101	449
71	1117	434
72	1133	419
73	1149	404
74	1165	388
75	1183	373
76	1200	358
77	1217	343
78	1234	328
79	1251	312
80	1267	297
81	1284	281
82	1300	266
83	1316	250
84	1333	235
85	1351	220
86	1367	204
87	1383	188
88	1400	173
89	1417	157
90	1433	141
91	1451	126
92	1467	110
93	1483	94
94	1499	78
95	1514	63
96	1530	47
97	1548	31
98	1564	15
99	1579	0
